topic	rank	download_priority	category	score	year	title	doi	pmid	url	cytokines
core_armored_CART_IL18	56	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Safety and efficacy of armored huCART19-IL18 in patients with relapsed/refractory lymphomas that progressed after anti-CD19 CAR T cells.	10.1200/jco.2024.42.16_suppl.7004		https://www.semanticscholar.org/paper/2ce027484f4cff9f8195c416939f1eb9e0ec42de	IL-18
core_armored_CART_IL18	65	1	core_self_secreting_or_armored_cytokine_cart	56	2024	IL-18R supported CAR T cells targeting oncofetal tenascin C for the immunotherapy of pediatric sarcoma and brain tumors.	10.1038/s41591-023-02276-w	39572158	https://pubmed.ncbi.nlm.nih.gov/39572158/	IL-18
core_armored_CART_IL18	66	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Phase 1 study of CAR-37 T cells in patients with relapsed or refractory CD37+ lymphoid malignancies.	10.1182/blood.2024024104	38781564	https://pubmed.ncbi.nlm.nih.gov/38781564/	IL-18
core_armored_CART_IL18	70	1	core_self_secreting_or_armored_cytokine_cart	56	2023	IL-18-secreting CAR T cells targeting DLL3 are highly effective in small cell lung cancer models.	10.1016/j.ccell.2019.02.006	36951942	https://pubmed.ncbi.nlm.nih.gov/36951942/	IL-18
core_armored_CART_IL18	71	1	core_self_secreting_or_armored_cytokine_cart	56	2023	IL-18–secreting CAR T cells targeting DLL3 are highly effective in small cell lung cancer models	10.1172/jci166028		https://doi.org/10.1172/jci166028	IL-18
core_armored_CART_IL18	74	1	core_self_secreting_or_armored_cytokine_cart	56	2022	Interleukin-18 Secreting Autologous Anti-CD19 CAR T-Cells (huCART19-IL18) in Patients with Non-Hodgkin Lymphomas Relapsed or Refractory to Prior CAR T-Cell Therapy	10.1182/blood-2022-162393		https://doi.org/10.1182/blood-2022-162393	IL-18
core_armored_CART_IL7	32	1	core_self_secreting_or_armored_cytokine_cart	56	2026	Efficacy and immunomodulatory effect of Claudin18.2-specific IL-7/XCL1 armored CAR-T cells in digestive tract cancer: preclinical and clinical analysis.	10.1080/2162402X.2024.2355684	41803093	https://pubmed.ncbi.nlm.nih.gov/41803093/	IL-7
core_armored_CART_IL7	42	1	core_self_secreting_or_armored_cytokine_cart	56	2025	FOXO1⁺themis⁺ memory t cells underpin long-term remission after cytokine-armored CD19 CAR-t therapy in refractory lymphoma	10.1182/blood-2025-3707		https://doi.org/10.1182/blood-2025-3707	IL-7
core_armored_CART_IL7	44	1	core_self_secreting_or_armored_cytokine_cart	56	2025	The development and potent antitumor efficacy of CD44/CD133 dual-targeting IL7Rα-armored CAR-T cells against glioblastoma.	10.1016/j.canlet.2025.217541	39952598	https://pubmed.ncbi.nlm.nih.gov/39952598/	IL-7
core_armored_CART_IL7	57	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Optimized BCMA/CS1 bispecific TRuC-T cells secreting IL-7 and CCL21 robustly control multiple myeloma.	10.1002/ajh.26586	39776916	https://pubmed.ncbi.nlm.nih.gov/39776916/	IL-7
core_armored_CART_IL7	58	1	core_self_secreting_or_armored_cytokine_cart	56	2024	A novel strategy of co-expressing CXCR5 and IL-7 enhances CAR-T cell effectiveness in osteosarcoma.	10.1038/nri2970	39450160	https://pubmed.ncbi.nlm.nih.gov/39450160/	IL-7
core_armored_CART_IL7	59	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Membrane-bound IL-7 immobilized by the CD8 transmembrane region improves efficacy of CD19 CAR-T cell therapy.	10.1182/blood.V114.22.3035.3035	39443955	https://pubmed.ncbi.nlm.nih.gov/39443955/	IL-7
core_armored_CART_IL7	60	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Activation of Cell-Intrinsic Signaling in CAR-T Cells via a Chimeric IL7R Domain.	10.1158/2767-9764.CRC-24-0286	39186002	https://pubmed.ncbi.nlm.nih.gov/39186002/	IL-7
core_armored_CART_IL7	61	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Interleukin-7 expression by CAR-T cells improves CAR-T cell survival and efficacy in chordoma.	10.1038/s41416-024-02617-7	39093440	https://pubmed.ncbi.nlm.nih.gov/39093440/	IL-7
